female,prechod,C,D,OR6,OR8,sig_OR6,sig_OR8,OR86,barva
0. male,N1C_N2C,euro4,euro1,5.7888198758,9.306122449,sig,sig,1.6076026977,B1
0. male,N1C_N2C,euro4,euro10,2.7941176471,3.5921052632,sig,sig,1.2855955679,B1
0. male,N1C_N2C,euro4,euro11,2.3317073171,1.1996981891,nesig,nesig,0.5145149138,B4
0. male,N1C_N2C,euro4,euro12,4.4716981132,3.4782608696,sig,sig,0.7778389286,B1
0. male,N1C_N2C,euro4,euro2,3,2.9810126582,sig,sig,0.9936708861,B1
0. male,N1C_N2C,euro4,euro3,2.0735930736,9.0576923077,nesig,sig,4.368114662,B3
0. male,N1C_N2C,euro4,euro4,,,nesig,nesig,,B4
0. male,N1C_N2C,euro4,euro5,4.2823529412,2.8394396552,sig,sig,0.6630559634,B1
0. male,N1C_N2C,euro4,euro6,2.0782608696,5.2333333333,nesig,sig,2.5181311018,B3
0. male,N1C_N2C,euro4,euro7,4.68,4.7244897959,sig,sig,1.0095063666,B1
0. male,N1C_N2C,euro4,euro8,2.1244444444,1.762962963,nesig,nesig,0.829846583,B4
0. male,N1C_N2C,euro4,euro9,5.9436090226,5.5563157895,sig,sig,0.9348387097,B1
0. male,N1C_N2C,euro5,euro1,4.0619195046,3.9959501558,sig,sig,0.9837590704,B1
0. male,N1C_N2C,euro5,euro10,2.9893874511,2.4494343108,sig,sig,0.8193766619,B1
0. male,N1C_N2C,euro5,euro11,1.5361842105,1.7253743105,nesig,sig,1.1231558681,B3
0. male,N1C_N2C,euro5,euro12,2.2349374022,4.5935868755,sig,sig,2.0553537074,B1
0. male,N1C_N2C,euro5,euro2,2.5330769231,2.9931506849,sig,sig,1.1816264471,B1
0. male,N1C_N2C,euro5,euro3,3.9285714286,7.4908536585,sig,sig,1.9067627494,B1
0. male,N1C_N2C,euro5,euro4,4.2823529412,2.8394396552,sig,sig,0.6630559634,B1
0. male,N1C_N2C,euro5,euro5,,,nesig,nesig,,B4
0. male,N1C_N2C,euro5,euro6,2.4926108374,5.1793548387,sig,sig,2.077883463,B1
0. male,N1C_N2C,euro5,euro7,3.6622740964,3.2028534649,sig,sig,0.8745531822,B1
0. male,N1C_N2C,euro5,euro8,3.0746853147,3.6867442902,sig,sig,1.1990639408,B1
0. male,N1C_N2C,euro5,euro9,4.5591517857,4.7674718574,sig,sig,1.0456927256,B1
0. male,N1C_N2C,euro6,euro1,6.0526960784,10.96765198,sig,sig,1.8120275391,B1
0. male,N1C_N2C,euro6,euro10,4.4237288136,7.6923076923,sig,sig,1.7388741527,B1
0. male,N1C_N2C,euro6,euro11,5.1494932432,5.5119825708,sig,sig,1.0703932038,B1
0. male,N1C_N2C,euro6,euro12,4.8732026144,7.6333333333,sig,sig,1.566389485,B1
0. male,N1C_N2C,euro6,euro2,3.0886495443,7.3225806452,sig,sig,2.3708033366,B1
0. male,N1C_N2C,euro6,euro3,3.8455284553,5.9079457364,sig,sig,1.5363156989,B1
0. male,N1C_N2C,euro6,euro4,2.0782608696,5.2333333333,nesig,sig,2.5181311018,B3
0. male,N1C_N2C,euro6,euro5,2.4926108374,5.1793548387,sig,sig,2.077883463,B1
0. male,N1C_N2C,euro6,euro6,,,nesig,nesig,,B4
0. male,N1C_N2C,euro6,euro7,3.859375,3.1365079365,sig,sig,0.8126984127,B1
0. male,N1C_N2C,euro6,euro8,4.5773273273,6.7647058824,sig,sig,1.4778724349,B1
0. male,N1C_N2C,euro6,euro9,6.7067669173,6.387283237,sig,sig,0.9523639804,B1
0. male,N1C_N2C,euro7,euro1,6.3362068966,5.7079646018,sig,sig,0.9008488351,B1
0. male,N1C_N2C,euro7,euro10,2.9519379845,4.8113207547,sig,sig,1.6298854447,B1
0. male,N1C_N2C,euro7,euro11,2.5062678063,3.4603448276,sig,sig,1.3806764061,B1
